mission_name,launch_date,launch_site,astronaut_name,astronaut_dob,launch_vehicle,command_module,lunar_module,duration,remarks,wiki_page
Apollo 12,1969-11-14,Launch Complex 39A,Richard F. Gordon Jr.,1929-09-05,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
Apollo 12,1969-11-14,Launch Complex 39A,Alan Bean,1932-05-15,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
Apollo 13,1970-04-11,Launch Complex 39A,James Lovell,1928-05-25,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as 'lifeboat' for safe crew return. First S-IVB stage impact on Moon for active seismic test.,https://en.wikipedia.org/wiki/Apollo_13
Apollo 13,1970-04-11,Launch Complex 39A,Jack Swigert,1931-08-30,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as 'lifeboat' for safe crew return. First S-IVB stage impact on Moon for active seismic test.,https://en.wikipedia.org/wiki/Apollo_13
Apollo 13,1970-04-11,Launch Complex 39A,Fred Haise,1933-11-14,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as 'lifeboat' for safe crew return. First S-IVB stage impact on Moon for active seismic test.,https://en.wikipedia.org/wiki/Apollo_13
Apollo 14,1971-01-31,Launch Complex 39A,Alan Shepard,1923-11-18,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 14,1971-01-31,Launch Complex 39A,Stuart Roosa,1933-08-16,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 14,1971-01-31,Launch Complex 39A,Edgar Mitchell,1930-09-17,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 15,1971-07-26,Launch Complex 39A,David Scott,1932-07-06,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 15,1971-07-26,Launch Complex 39A,Alfred Worden,1932-02-07,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 15,1971-07-26,Launch Complex 39A,James Irwin,1930-05-17,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 16,1972-04-16,Launch Complex 39A,John Young,1930-09-24,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 16,1972-04-16,Launch Complex 39A,Ken Mattingly,1936-05-17,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 16,1972-04-16,Launch Complex 39A,Charles Duke,1935-10-03,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 17,1972-12-07,Launch Complex 39A,Eugene Cernan,1934-05-14,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
Apollo 17,1972-12-07,Launch Complex 39A,Ronald Evans,1933-11-10,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
Apollo 17,1972-12-07,Launch Complex 39A,Harrison Schmitt,1935-07-03,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
